Age,Gender,OwnHome,Married,Location,Salary,Children,History,Catalogs,AmountSpent
Young,Female,Rent,Single,Far,13200,0,None,18,51.2
Middle,Male,Rent,Single,Close,63800,1,Medium,24,162.2
Old,Female,Rent,Single,Far,22600,0,None,12,86.5
Old,Female,Own,Single,Close,37300,0,Medium,6,67.3
Young,Male,Rent,Single,Far,14900,1,None,12,42.2
Middle,Female,Own,Single,Close,36700,1,None,6,52.9
Middle,Male,Own,Single,Close,63200,0,High,24,193.2
Old,Male,Own,Married,Close,77300,0,High,18,185.3
Middle,Male,Rent,Single,Close,43100,1,None,12,122.4
Middle,Female,Rent,Single,Far,44800,1,Medium,6,66.6
Old,Female,Rent,Married,Close,70900,0,High,24,168.5
Middle,Female,Rent,Single,Far,38200,0,Medium,24,147.6
Young,Female,Rent,Single,Far,18400,1,Low,6,31.9
Middle,Female,Rent,Single,Close,40700,3,Low,18,23.2
Old,Male,Own,Single,Close,71300,0,High,18,154.3
Middle,Female,Rent,Single,Close,36400,2,Low,18,50.6
Young,Male,Rent,Single,Close,15400,0,Low,6,17.2
Middle,Male,Own,Single,Far,39100,1,Medium,12,100.1
Middle,Male,Rent,Single,Close,43800,0,Medium,12,60.6
Young,Male,Rent,Single,Far,25300,0,Medium,12,59.1
Old,Male,Rent,Married,Close,71800,0,High,12,138.9
Middle,Male,Own,Single,Close,73200,0,High,24,217.7
Middle,Male,Own,Married,Far,79000,1,High,18,227.9
Middle,Female,Rent,Married,Close,75200,1,None,24,270.2
Young,Female,Rent,Single,Close,25300,3,None,6,51
Old,Female,Own,Married,Close,43600,0,Medium,12,104.7
Middle,Male,Own,Married,Close,83600,2,Medium,6,53.8
Middle,Female,Own,Single,Far,56200,0,High,18,154.6
Young,Male,Rent,Married,Close,45500,0,Medium,6,75.4
Middle,Male,Own,Married,Close,99300,1,High,12,150.4
Middle,Male,Own,Married,Far,108000,3,High,24,184.9
Middle,Female,Own,Married,Far,84900,1,High,24,307.2
Middle,Male,Own,Married,Far,93000,3,High,6,104.6
Middle,Female,Own,Married,Close,82000,0,High,18,180
Old,Female,Own,Single,Close,33000,3,None,6,70
Middle,Female,Own,Single,Close,36900,2,Low,24,51.4
Middle,Female,Rent,Single,Close,33200,1,None,6,32
Young,Male,Rent,Married,Close,49300,0,None,24,169.2
Old,Male,Rent,Married,Far,66200,0,High,24,205.7
Middle,Male,Own,Married,Far,96800,2,High,18,229.9
Old,Male,Own,Single,Close,63200,0,High,24,150.7
Old,Male,Own,Married,Far,112900,0,High,24,621.7
Middle,Female,Rent,Single,Close,32100,2,Low,24,40.5
Middle,Male,Own,Married,Far,102700,1,High,18,378.5
Middle,Male,Own,Married,Close,123800,2,None,18,353.7
Old,Female,Rent,Single,Far,11700,0,Low,18,54
Middle,Male,Own,Married,Close,101700,1,None,6,94.1
Middle,Female,Own,Married,Far,99200,0,High,24,550.3
Young,Male,Rent,Single,Close,17600,0,None,6,27.3
Young,Female,Rent,Single,Close,19400,1,None,18,38.4
Middle,Male,Rent,Single,Far,40500,1,None,18,107.3
Old,Male,Own,Single,Close,44800,0,Medium,24,141.7
Middle,Male,Own,Married,Close,79000,2,Medium,18,67.1
Young,Male,Rent,Married,Close,53600,1,Medium,24,97.3
